Bootstrapping Instrument, %;Rate;Start Date;End Date
EUR_YC_OND;0.0400;Tue 11 Dec 2012;Wed 12 Dec 2012
EUR_YC_TND;0.0400;Wed 12 Dec 2012;Thu 13 Dec 2012
EUR_YC_SND;0.0400;Thu 13 Dec 2012;Fri 14 Dec 2012
EUR_YC_EONSW;0.0700;Thu 13 Dec 2012;Thu 20 Dec 2012
EUR_YC_EON2W;0.0690;Thu 13 Dec 2012;Thu 27 Dec 2012
EUR_YC_EON3W;0.0780;Thu 13 Dec 2012;Thu 03 Jan 2013
EUR_YC_EON1M;0.0740;Thu 13 Dec 2012;Mon 14 Jan 2013
EUR_YC_EONECBJan13;0.0460;Wed 16 Jan 2013;Wed 13 Feb 2013
EUR_YC_EONECBFEB13;0.0160;Wed 13 Feb 2013;Wed 13 Mar 2013
EUR_YC_EONECBMAR13;-0.0070;Wed 13 Mar 2013;Wed 10 Apr 2013
EUR_YC_EONECBAPR13;-0.0130;Wed 10 Apr 2013;Wed 08 May 2013
EUR_YC_EONECBMAY13;-0.0140;Wed 08 May 2013;Wed 12 Jun 2013
EUR_YC_EON15M;0.0020;Thu 13 Dec 2012;Thu 13 Mar 2014
EUR_YC_EON18M;0.0080;Thu 13 Dec 2012;Fri 13 Jun 2014
EUR_YC_EON21M;0.0210;Thu 13 Dec 2012;Mon 15 Sep 2014
EUR_YC_EON2Y;0.0360;Thu 13 Dec 2012;Mon 15 Dec 2014
EUR_YC_EON3Y;0.1270;Thu 13 Dec 2012;Mon 14 Dec 2015
EUR_YC_EON4Y;0.2740;Thu 13 Dec 2012;Tue 13 Dec 2016
EUR_YC_EON5Y;0.4560;Thu 13 Dec 2012;Wed 13 Dec 2017
EUR_YC_EON6Y;0.6470;Thu 13 Dec 2012;Thu 13 Dec 2018
EUR_YC_EON7Y;0.8270;Thu 13 Dec 2012;Fri 13 Dec 2019
EUR_YC_EON8Y;0.9960;Thu 13 Dec 2012;Mon 14 Dec 2020
EUR_YC_EON9Y;1.1470;Thu 13 Dec 2012;Mon 13 Dec 2021
EUR_YC_EON10Y;1.2800;Thu 13 Dec 2012;Tue 13 Dec 2022
EUR_YC_EON11Y;1.4040;Thu 13 Dec 2012;Wed 13 Dec 2023
EUR_YC_EON12Y;1.5160;Thu 13 Dec 2012;Fri 13 Dec 2024
EUR_YC_EON15Y;1.7640;Thu 13 Dec 2012;Mon 13 Dec 2027
EUR_YC_EON20Y;1.9390;Thu 13 Dec 2012;Mon 14 Dec 2032
EUR_YC_EON25Y;2.0030;Thu 13 Dec 2012;Mon 14 Dec 2037
EUR_YC_EON30Y;2.0380;Thu 13 Dec 2012;Mon 15 Dec 2042
