Bootstrapping Instrument;Rate, %;Start Date;End Date
EUR_YC6M_SWD;0.3565;Thu 13 Dec 2012;Fri 14 Dec 2012
EUR_YC6M_SWD;0.3858;Thu 13 Dec 2012;Thu 20 Dec 2012
EUR_YC6M_2WD;0.3840;Thu 13 Dec 2012;Thu 27 Dec 2012
EUR_YC6M_3WD;0.3922;Thu 13 Dec 2012;Thu 03 Jan 2013
EUR_YC6M_1WD;0.3869;Thu 13 Dec 2012;Mon 14 Jan 2013
EUR_YC6M_2WD;0.3698;Thu 13 Dec 2012;Wed 13 Feb 2013
EUR_YC6M_3WD;0.3527;Thu 13 Dec 2012;Wed 13 Mar 2013
EUR_YC6M_4WD;0.3342;Thu 13 Dec 2012;Mon 15 Apr 2013
EUR_YC6M_5WD;0.3225;Thu 13 Dec 2012;Mon 13 May 2013
EUR_YC6M_TOM6F1;0.3120;Fri 14 Dec 2012;Fri 14 Jun 2013
EUR_YC6M_1x7F;0.2930;Mon 14 Jan 2013;Mon 15 Jul 2013
EUR_YC6M_2x8F;0.2720;Wed 13 Feb 2013;Tue 13 Aug 2013
EUR_YC6M_3x9F;0.2600;Wed 13 Mar 2013;Fri 13 Sep 2013
EUR_YC6M_4x10F;0.2560;Mon 15 Apr 2013;Tue 15 Oct 2013
EUR_YC6M_5x11F;0.2520;Mon 13 May 2013;Wed 13 Nov 2013
EUR_YC6M_6x12F;0.2480;Thu 13 Jun 2013;Fri 13 Dec 2013
EUR_YC6M_7x13F;0.2540;Mon 15 Jul 2013;Wed 15 Jan 2014
EUR_YC6M_8x14F;0.2610;Tue 13 Aug 2013;Thu 13 Feb 2014
EUR_YC6M_9x15F;0.2670;Fri 13 Sep 2013;Thu 13 Mar 2014
EUR_YC6M_10x16F;0.2790;Mon 14 Oct 2013;Mon 14 Apr 2014
EUR_YC6M_11x17F;0.2910;Wed 13 Nov 2013;Tue 13 May 2014
EUR_YC6M_12x18F;0.3030;Fri 13 Dec 2013;Fri 13 Jun 2014
EUR_YC6M_13x19F;0.3180;Mon 13 Jan 2014;Mon 14 Jul 2014
EUR_YC6M_14x20F;0.3350;Thu 13 Feb 2014;Wed 13 Aug 2014
EUR_YC6M_15x21F;0.3520;Thu 13 Mar 2014;Mon 15 Sep 2014
EUR_YC6M_16x22F;0.3710;Mon 14 Apr 2014;Tue 14 Oct 2014
EUR_YC6M_17x23F;0.3890;Tue 13 May 2014;Thu 13 Nov 2014
EUR_YC6M_18x24F;0.4090;Fri 13 Jun 2014;Mon 15 Dec 2014
EUR_YC6M_AB6E3Y;0.4240;Thu 13 Dec 2012;Mon 14 Dec 2015
EUR_YC6M_AB6E4Y;0.5760;Thu 13 Dec 2012;Tue 13 Dec 2016
EUR_YC6M_AB6E5Y;0.7620;Thu 13 Dec 2012;Wed 13 Dec 2017
EUR_YC6M_AB6E6Y;0.9540;Thu 13 Dec 2012;Thu 13 Dec 2018
EUR_YC6M_AB6E7Y;1.1350;Thu 13 Dec 2012;Fri 13 Dec 2019
EUR_YC6M_AB6E8Y;1.3030;Thu 13 Dec 2012;Mon 14 Dec 2020
EUR_YC6M_AB6E9Y;1.4520;Thu 13 Dec 2012;Mon 13 Dec 2021
EUR_YC6M_AB6E10Y;1.5840;Thu 13 Dec 2012;Tue 13 Dec 2022
EUR_YC6M_AB6E12Y;1.8090;Thu 13 Dec 2012;Fri 13 Dec 2024
EUR_YC6M_AB6E15Y;2.0370;Thu 13 Dec 2012;Mon 13 Dec 2027
EUR_YC6M_AB6E20Y;2.1870;Thu 13 Dec 2012;Mon 13 Dec 2032
EUR_YC6M_AB6E25Y;2.2340;Thu 13 Dec 2012;Mon 14 Dec 2037
EUR_YC6M_AB6E30Y;2.2560;Thu 13 Dec 2012;Mon 15 Dec 2042
EUR_YC6M_AB6E35Y;2.2950;Thu 13 Dec 2012;Fri 13 Dec 2047
EUR_YC6M_AB6E40Y;2.3480;Thu 13 Dec 2012;Fri 13 Dec 2052
EUR_YC6M_AB6E50Y;2.4210;Thu 13 Dec 2012;Wed 13 Dec 2062
EUR_YC6M_AB6E60Y;2.4630;Thu 13 Dec 2012;Tue 13 Dec 2072
